"id","grade","section","track","description"
"1AI",1,"A","I","Classe 1 A IGEA"
"2AI",2,"A","I","Classe 2 A IGEA"
"3AI",3,"A","I","Classe 3 A IGEA"
"4AI",4,"A","I","Classe 4 A IGEA"
"5AI",5,"A","I","Classe 5 A IGEA"
"1BI",1,"B","I","Classe 1 B IGEA"
"2BI",2,"B","I","Classe 2 B IGEA"
"3BI",3,"B","I","Classe 3 B IGEA"
"4BI",4,"B","I","Classe 4 B IGEA"
"5BI",5,"B","I","Classe 5 B IGEA"
"1CI",1,"C","I","Classe 1 C IGEA"
"2CI",2,"C","I","Classe 2 C IGEA"
"3CI",3,"C","I","Classe 3 C IGEA"
"4CI",4,"C","I","Classe 4 C IGEA"
"5CI",5,"C","I","Classe 5 C IGEA"
"1EI",1,"E","I","Classe 1 E IGEA"
"2EI",2,"E","I","Classe 2 E IGEA"
"1GI",1,"G","I","Classe 1 G IGEA"
"2DI",2,"D","I","Classe 2 D IGEA"
"5DI",5,"D","I","Classe 5 D IGEA"
"1DI",1,"D","I","Classe 1 D IGEA"
